Date,adjusted_close,volume,direction,Symbol
2018-08-08,185.18,22205230,1,META
2018-08-07,183.81,33398562,0,META
2018-08-06,185.69,49716192,1,META
2018-08-03,177.78,24763434,1,META
2018-08-02,176.37,32399954,1,META
2018-08-01,171.65,34042109,0,META
2018-07-31,172.58,40356471,1,META
2018-07-30,171.06,65280787,0,META
2018-07-27,174.89,60073749,0,META
2018-07-26,176.26,169803668,0,META
2018-07-25,217.5,64592585,1,META
2018-07-24,214.67,28468681,1,META
2018-07-23,210.91,16731969,1,META
2018-07-20,209.94,16241508,1,META
2018-07-19,208.09,11350429,0,META
2018-07-18,209.36,15334907,0,META
2018-07-17,209.99,15349892,1,META
2018-07-16,207.23,11078209,0,META
2018-07-13,207.32,11503401,1,META
2018-07-12,206.92,15454706,1,META
2018-07-11,202.54,12927377,0,META
2018-07-10,203.54,13190067,0,META
2018-07-09,204.74,18149437,1,META
2018-07-06,203.23,19740131,1,META
2018-07-05,198.45,19684193,1,META
2018-07-03,192.73,13489514,0,META
2018-07-02,197.36,13961578,1,META
2018-06-29,194.32,15811602,0,META
2018-06-28,196.23,18172439,1,META
2018-06-27,195.84,18734408,0,META
2018-06-26,199.0,17897576,1,META
2018-06-25,196.35,25275137,0,META
2018-06-22,201.74,17420188,1,META
2018-06-21,201.5,19045717,0,META
2018-06-20,202.0,28230933,1,META
2018-06-19,197.49,19993996,0,META
2018-06-18,198.31,16826023,1,META
2018-06-15,195.85,21860931,0,META
2018-06-14,196.81,19120866,1,META
2018-06-13,192.41,15853821,1,META
2018-06-12,192.4,11562704,1,META
2018-06-11,191.54,12928907,1,META
2018-06-08,189.1,12677092,1,META
2018-06-07,188.18,21503171,0,META
2018-06-06,191.34,22558920,0,META
2018-06-05,192.94,15544294,0,META
2018-06-04,193.28,18939795,0,META
2018-06-01,193.99,17307245,1,META
2018-05-31,191.78,30782631,1,META
2018-05-30,187.67,13736866,1,META
2018-05-29,185.74,16398937,1,META
2018-05-25,184.92,10965061,0,META
2018-05-24,185.93,12354742,0,META
2018-05-23,186.9,16628100,1,META
2018-05-22,183.8,12731419,0,META
2018-05-21,184.49,13532864,1,META
2018-05-18,182.68,13130451,0,META
2018-05-17,183.76,14840675,1,META
2018-05-16,183.2,16975495,0,META
2018-05-15,184.32,15429433,0,META
2018-05-14,186.64,15646744,0,META
2018-05-11,186.99,21207848,1,META
2018-05-10,185.53,21071403,1,META
2018-05-09,182.66,23282811,1,META
2018-05-08,178.92,15577211,1,META
2018-05-07,177.97,18697195,1,META
2018-05-04,176.61,17677844,1,META
2018-05-03,174.02,24026071,0,META
2018-05-02,176.07,30424450,1,META
2018-05-01,173.86,26025932,1,META
2018-04-30,172.0,20750478,0,META
2018-04-27,173.59,29804657,0,META
2018-04-26,174.16,77556934,1,META
2018-04-25,159.69,41083581,0,META
2018-04-24,159.69,35079926,0,META
2018-04-23,165.84,23088102,0,META
2018-04-20,166.28,19119438,0,META
2018-04-19,168.1,22234961,1,META
2018-04-18,166.36,20969568,0,META
2018-04-17,168.66,22743029,1,META
2018-04-16,164.83,18119435,1,META
2018-04-13,164.52,19990561,1,META
2018-04-12,163.87,38262956,0,META
2018-04-11,166.32,56144633,1,META
2018-04-10,165.04,58947041,1,META
2018-04-09,157.93,34915227,1,META
2018-04-06,157.2,41644812,0,META
2018-04-05,159.34,41449609,1,META
2018-04-04,155.1,49885584,0,META
2018-04-03,156.11,42543865,1,META
2018-04-02,155.39,36795991,0,META
2018-03-29,159.79,59434293,1,META
2018-03-28,153.03,60029170,1,META
2018-03-27,152.22,76787884,0,META
2018-03-26,160.06,125438294,1,META
2018-03-23,159.39,52306891,0,META
2018-03-22,164.89,73389988,0,META
2018-03-21,169.39,105350867,1,META
2018-03-20,168.15,128925534,0,META
2018-03-19,172.56,86897749,0,META
2018-03-16,185.09,23090480,1,META
2018-03-15,183.86,15461869,0,META
2018-03-14,184.19,16426843,1,META
2018-03-13,181.88,17742312,0,META
2018-03-12,184.76,14873538,0,META
2018-03-09,185.23,17952177,1,META
2018-03-08,182.34,15336555,0,META
2018-03-07,183.71,19097293,1,META
2018-03-06,179.78,15086784,0,META
2018-03-05,180.4,16189280,1,META
2018-03-02,176.62,20025905,1,META
2018-03-01,175.94,23201626,0,META
2018-02-28,178.32,18208084,0,META
2018-02-27,181.46,15649326,0,META
2018-02-26,184.93,17418814,1,META
2018-02-23,183.29,18621950,1,META
2018-02-22,178.99,17085490,1,META
2018-02-21,177.91,22844006,1,META
2018-02-20,176.01,20887317,0,META
2018-02-16,177.36,20475445,0,META
2018-02-15,179.96,20554092,1,META
2018-02-14,179.52,27963758,1,META
2018-02-13,173.15,20880702,0,META
2018-02-12,176.41,31697374,1,META
2018-02-09,176.11,37214470,1,META
2018-02-08,171.58,35672214,0,META
2018-02-07,180.18,26891282,0,META
2018-02-06,185.31,36829710,1,META
2018-02-05,181.26,29852293,0,META
2018-02-02,190.28,25514560,0,META
2018-02-01,193.09,53608910,1,META
2018-01-31,186.89,27299152,0,META
2018-01-30,187.12,20382841,1,META
2018-01-29,185.98,20022931,0,META
2018-01-26,190.0,16652197,1,META
2018-01-25,187.48,16698537,1,META
2018-01-24,186.55,22992031,0,META
2018-01-23,189.35,24956444,1,META
2018-01-22,185.37,20567285,1,META
2018-01-19,181.29,26266081,1,META
2018-01-18,179.8,22783759,1,META
2018-01-17,177.6,27356988,0,META
2018-01-16,178.39,35027166,0,META
2018-01-12,179.37,76645626,0,META
2018-01-11,187.77,8855144,0,META
2018-01-10,187.84,10464528,0,META
2018-01-09,187.87,12342722,0,META
2018-01-08,188.28,14719216,1,META
2018-01-05,186.85,13042388,1,META
2018-01-04,184.33,13554357,0,META
2018-01-03,184.67,16595495,1,META
2018-01-02,181.42,17694891,1,META
2017-12-29,176.46,10028758,0,META
2017-12-28,177.92,11008996,1,META
2017-12-27,177.62,9296258,1,META
2017-12-26,175.99,8726829,0,META
2017-12-22,177.2,8462491,0,META
2017-12-21,177.45,11050969,0,META
2017-12-20,177.89,11754823,0,META
2017-12-19,179.51,14769239,0,META
2017-12-18,180.82,17014337,1,META
2017-12-15,180.18,26225100,1,META
2017-12-14,178.39,13393757,1,META
2017-12-13,178.3,14406776,1,META
2017-12-12,176.96,16675275,0,META
2017-12-11,179.04,12630207,1,META
2017-12-08,179.0,19377310,0,META
2017-12-07,180.14,19588217,1,META
2017-12-06,176.06,20059293,1,META
2017-12-05,172.83,20028656,1,META
2017-12-04,171.47,24184006,0,META
2017-12-01,175.1,19966643,0,META
2017-11-30,177.18,25127073,1,META
2017-11-29,175.13,41843917,0,META
2017-11-28,182.42,13761926,0,META
2017-11-27,183.03,12249740,1,META
2017-11-24,182.78,9426010,1,META
2017-11-22,180.87,10238140,0,META
2017-11-21,181.86,14409305,1,META
2017-11-20,178.74,10052391,0,META
2017-11-17,179.0,12722802,0,META
2017-11-16,179.59,15230062,1,META
2017-11-15,177.95,10131051,0,META
2017-11-14,178.07,9465112,0,META
2017-11-13,178.77,9431449,1,META
2017-11-10,178.46,10933405,0,META
2017-11-09,179.3,12460345,0,META
2017-11-08,179.56,10873359,0,META
2017-11-07,180.25,12679885,1,META
2017-11-06,180.17,13065077,1,META
2017-11-03,178.92,17572587,0,META
2017-11-02,178.92,35119841,0,META
2017-11-01,182.66,28922959,1,META
2017-10-31,180.06,19766043,1,META
2017-10-30,179.87,24179258,1,META
2017-10-27,177.88,29867490,1,META
2017-10-26,170.63,10932929,1,META
2017-10-25,170.6,15095603,0,META
2017-10-24,171.8,11629341,1,META
2017-10-23,171.27,13622072,0,META
2017-10-20,174.98,11861307,1,META
2017-10-19,174.56,13602869,0,META
2017-10-18,176.03,12655492,0,META
2017-10-17,176.11,15381990,1,META
2017-10-16,174.52,11225293,1,META
2017-10-13,173.74,13305724,1,META
2017-10-12,172.55,10312488,0,META
2017-10-11,172.74,11023310,1,META
2017-10-10,171.59,11231234,0,META
2017-10-09,172.5,14472612,1,META
2017-10-06,172.23,12670089,1,META
2017-10-05,171.24,14013869,1,META
2017-10-04,168.42,11829323,0,META
2017-10-03,169.96,8054219,1,META
2017-10-02,169.47,13104304,0,META
2017-09-29,170.87,15114619,1,META
2017-09-28,168.73,12084865,1,META
2017-09-27,167.68,18963276,1,META
2017-09-26,164.21,22866403,1,META
2017-09-25,162.87,40538994,0,META
2017-09-22,170.54,11835708,0,META
2017-09-21,171.11,11054545,0,META
2017-09-20,172.17,11899057,0,META
2017-09-19,172.52,12911661,1,META
2017-09-18,170.01,12785437,0,META
2017-09-15,171.64,15468473,1,META
2017-09-14,170.96,15496424,0,META
2017-09-13,173.05,8908633,1,META
2017-09-12,172.96,11051768,0,META
2017-09-11,173.51,12208441,1,META
2017-09-08,170.95,10936358,0,META
2017-09-07,173.21,17922494,1,META
2017-09-06,172.09,13659317,1,META
2017-09-05,170.72,13175866,0,META
2017-09-01,172.02,11677589,1,META
2017-08-31,171.97,17226465,1,META
2017-08-30,169.92,10850005,1,META
2017-08-29,168.05,10992617,1,META
2017-08-28,167.24,8360380,1,META
2017-08-25,166.32,12391910,0,META
2017-08-24,167.74,13552865,0,META
2017-08-23,168.71,9756817,0,META
2017-08-22,169.64,11333260,1,META
2017-08-21,167.78,11880823,1,META
2017-08-18,167.41,14933261,1,META
2017-08-17,166.91,16791591,0,META
2017-08-16,170.0,15580549,0,META
2017-08-15,171.0,8621787,1,META
2017-08-14,170.75,12786286,1,META
2017-08-11,168.08,13664032,1,META
2017-08-10,167.4,20353485,0,META
2017-08-09,171.18,10597084,0,META
2017-08-08,171.23,13813683,0,META
2017-08-07,171.98,12504157,1,META
2017-08-04,169.62,10360774,1,META
2017-08-03,168.59,10316246,0,META
2017-08-02,169.3,17061845,0,META
2017-08-01,169.86,14051379,1,META
2017-07-31,169.25,25157896,0,META
2017-07-28,172.45,24036502,1,META
2017-07-27,170.44,68065163,1,META
2017-07-26,165.61,24081060,1,META
2017-07-25,165.28,15164613,0,META
2017-07-24,166.0,16595460,1,META
2017-07-21,164.43,14494667,0,META
2017-07-20,164.53,18293111,1,META
2017-07-19,164.14,25915988,1,META
2017-07-18,162.86,23621711,1,META
2017-07-17,159.73,12567935,0,META
2017-07-14,159.97,16172560,1,META
2017-07-13,159.26,13839891,1,META
2017-07-12,158.9,22483868,1,META
2017-07-11,155.27,13208251,1,META
2017-07-10,153.5,13296447,1,META
2017-07-07,151.44,13229352,1,META
2017-07-06,148.82,14788811,0,META
2017-07-05,150.34,14037692,1,META
2017-07-03,148.43,13860113,0,META
2017-06-30,150.98,14540013,0,META
2017-06-29,151.04,23771610,0,META
2017-06-28,153.24,16621566,1,META
2017-06-27,150.58,19274022,0,META
2017-06-26,153.59,17934289,0,META
2017-06-23,155.07,16192249,1,META
2017-06-22,153.4,12783958,0,META
2017-06-21,153.91,14760242,1,META
2017-06-20,152.25,14557895,0,META
2017-06-19,152.87,18678807,1,META
2017-06-16,150.64,22169800,1,META
2017-06-15,149.8,18877305,0,META
2017-06-14,150.25,20552981,0,META
2017-06-13,150.68,20316202,1,META
2017-06-12,148.44,33238543,0,META
2017-06-09,149.6,35256368,0,META
2017-06-08,154.71,17539521,1,META
2017-06-07,153.12,11822136,1,META
2017-06-06,152.81,13291727,0,META
2017-06-05,153.63,12279871,1,META
2017-06-02,153.61,16787255,1,META
2017-06-01,151.53,14459173,1,META
2017-05-31,151.46,17709427,0,META
2017-05-30,152.38,13145329,1,META
2017-05-26,152.13,14907827,1,META
2017-05-25,151.96,19780399,1,META
2017-05-24,150.04,17769670,1,META
2017-05-23,148.07,12665886,0,META
2017-05-22,148.24,12379481,1,META
2017-05-19,148.06,16101229,1,META
2017-05-18,147.66,21784326,1,META
2017-05-17,144.85,27908167,0,META
2017-05-16,149.78,14420715,0,META
2017-05-15,150.19,14909882,0,META
2017-05-12,150.33,9497040,1,META
2017-05-11,150.04,11623865,0,META
2017-05-10,150.29,11653395,0,META
2017-05-09,150.48,17325999,0,META
2017-05-08,151.06,15662472,1,META
2017-05-05,150.24,17051519,0,META
2017-05-04,150.85,36060301,0,META
2017-05-03,151.8,21755088,0,META
2017-05-02,152.78,21255365,1,META
2017-05-01,152.46,24669159,1,META
2017-04-28,150.25,30280373,1,META
2017-04-27,147.7,10561420,1,META
2017-04-26,146.56,11324335,1,META
2017-04-25,146.49,17684833,1,META
2017-04-24,145.47,14397448,1,META
2017-04-21,143.68,12382002,0,META
2017-04-20,143.8,15968164,1,META
2017-04-19,142.27,15563945,1,META
2017-04-18,140.96,14807472,0,META
2017-04-17,141.42,11519663,1,META
2017-04-13,139.39,10965614,0,META
2017-04-12,139.58,11612456,0,META
2017-04-11,139.92,16638087,0,META
2017-04-10,141.04,9039366,1,META
2017-04-07,140.78,11811439,0,META
2017-04-06,141.17,15103426,0,META
2017-04-05,141.85,17158059,1,META
2017-04-04,141.73,12948599,0,META
2017-04-03,142.28,13563960,1,META
2017-03-31,142.05,11478265,0,META
2017-03-30,142.41,12403997,0,META
2017-03-29,142.65,16527574,1,META
2017-03-28,141.76,14679436,1,META
2017-03-27,140.32,12800544,0,META
2017-03-24,140.34,16664683,1,META
2017-03-23,139.53,13022801,0,META
2017-03-22,139.59,17055449,1,META
2017-03-21,138.51,29894784,0,META
2017-03-20,139.94,12099471,1,META
2017-03-17,139.84,20592818,0,META
2017-03-16,139.99,13612942,1,META
2017-03-15,139.72,19344826,1,META
2017-03-14,139.32,12944018,0,META
2017-03-13,139.6,10955450,1,META
2017-03-10,138.79,16314113,1,META
2017-03-09,138.24,15535259,1,META
2017-03-08,137.72,10184514,1,META
2017-03-07,137.3,13527132,0,META
2017-03-06,137.42,12748179,1,META
2017-03-03,137.17,11160563,1,META
2017-03-02,136.76,12294804,0,META
2017-03-01,137.42,16257010,1,META
2017-02-28,135.54,16112092,0,META
2017-02-27,136.41,14306668,1,META
2017-02-24,135.44,12625742,1,META
2017-02-23,135.36,18422549,0,META
2017-02-22,136.12,27360092,1,META
2017-02-21,133.72,14759109,1,META
2017-02-17,133.53,12276490,0,META
2017-02-16,133.84,12831092,1,META
2017-02-15,133.44,13226534,0,META
2017-02-14,133.85,14364877,0,META
2017-02-13,134.05,13526221,0,META
2017-02-10,134.19,15061939,1,META
2017-02-09,134.14,16470609,0,META
2017-02-08,134.2,22390556,1,META
2017-02-07,131.84,14596449,0,META
2017-02-06,132.06,17058494,1,META
2017-02-03,130.98,24804890,1,META
2017-02-02,130.84,54366447,0,META
2017-02-01,133.23,50139775,1,META
2017-01-31,130.32,19790484,0,META
2017-01-30,130.98,18956095,0,META
2017-01-27,132.18,19539514,0,META
2017-01-26,132.78,20020141,1,META
2017-01-25,131.48,18777314,1,META
2017-01-24,129.37,15162724,1,META
2017-01-23,128.93,16593563,1,META
2017-01-20,127.04,19097223,0,META
2017-01-19,127.55,12195465,0,META
2017-01-18,127.92,13145852,1,META
2017-01-17,127.87,15294460,0,META
2017-01-13,128.34,24884325,1,META
2017-01-12,126.62,18653914,1,META
2017-01-11,126.09,18356523,1,META
2017-01-10,124.35,17324590,0,META
2017-01-09,124.9,22880360,1,META
2017-01-06,123.41,28545263,1,META
2017-01-05,120.67,19492150,1,META
2017-01-04,118.69,19630932,1,META
2017-01-03,116.86,20663912,1,META
2016-12-30,115.05,18684106,0,META
2016-12-29,116.35,9934873,0,META
2016-12-28,116.92,12087377,0,META
2016-12-27,118.01,12051481,1,META
2016-12-23,117.27,10889985,0,META
2016-12-22,117.4,16258587,0,META
2016-12-21,119.04,10767646,0,META
2016-12-20,119.09,13684402,0,META
2016-12-19,119.24,15918146,0,META
2016-12-16,119.87,25324299,0,META
2016-12-15,120.57,20139568,1,META
2016-12-14,120.21,25913095,0,META
2016-12-13,120.31,29768028,1,META
2016-12-12,117.77,17805527,0,META
2016-12-09,119.68,17464736,1,META
2016-12-08,118.91,22442756,1,META
2016-12-07,117.95,21913658,1,META
2016-12-06,117.31,19131202,0,META
2016-12-05,117.43,20201528,1,META
2016-12-02,115.4,25070364,1,META
2016-12-01,115.1,43276994,0,META
2016-11-30,118.42,30188922,0,META
2016-11-29,120.87,18890956,1,META
2016-11-28,120.41,18101314,1,META
2016-11-25,120.38,8658605,0,META
2016-11-23,120.84,15672136,0,META
2016-11-22,121.47,26089163,0,META
2016-11-21,121.77,35415366,1,META
2016-11-18,117.02,22879303,0,META
2016-11-17,117.79,18597766,1,META
2016-11-16,116.34,32397947,0,META
2016-11-15,117.2,34681369,1,META
