Date,pcf,PEG_trailing,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD
2010-12-31,8.965,0.634,0.22,0.313,0.848,0.353,0.46,0.108,0.882,1.505,2.134,12.983,2.849,2.227,0.135,-0.065,15648.991,15807.995,2.2047,4.13,4.34,0.13,1.6366,6.8318,9.3,130822.0,26.61083333333333,26.66623291015625,2785.852813852814,2655.377670301192,77.42582197273458,100.0,23.103187712576,-1499521986.9263592
2011-01-31,8.905,0.63,0.22,0.313,0.848,0.353,0.46,0.108,0.882,1.505,2.134,12.983,2.849,2.227,0.135,-0.065,15891.534,15769.911,2.2119,4.33,4.58,0.17,3.1397,8.8003,9.1,130841.0,26.964166666666667,27.195616455078124,2766.9966887417218,2690.88000297455,62.4852767962309,100.0,23.20912395832448,2006087771.136075
2011-02-28,8.801,1.032,0.231,0.308,0.833,0.338,0.445,0.13,0.895,1.576,2.233,13.311,3.077,2.105,0.134,-0.055,15891.534,15769.911,2.219,4.25,4.49,0.16,3.1397,8.8003,9.0,131053.0,27.405,26.88780822753906,2651.4461538461537,2734.765218813563,66.60389202762082,68.78879710736365,23.33414147915799,6451034327.627831
2011-03-31,8.435,0.986,0.231,0.308,0.833,0.338,0.445,0.13,0.895,1.576,2.233,13.311,3.077,2.105,0.134,-0.055,15891.534,15769.911,2.2305,4.29,4.51,0.1,3.1397,8.8003,9.0,131288.0,26.565,26.13890411376953,2533.836820083682,2650.7598875571857,0.0,37.56769559152337,23.43425864957483,11320457996.500538
2011-04-29,15.838173662538724,16.834624072875904,0.6518393373500632,0.2764531023233213,0.7740696270032694,0.2907248422817569,0.3057641043018388,0.1135108224799988,0.5317208379943401,2.103825678675984,2.3533128418098563,11.709508761423324,2.722928959442422,1.2954120680272292,0.1363666313315212,-0.1091780904941154,15891.534,15876.839,2.2409,4.15,4.4,0.09,3.1397,8.8003,9.1,131602.0,25.96333333333333,26.029452056884764,2585.256830601093,2590.179934843643,18.499127399650988,34.72891045132786,23.50117347658333,6603806978.790624
2011-05-31,7.912,0.698,0.228,0.318,0.822,0.335,0.459,0.157,0.895,1.717,2.403,12.561,3.331,1.949,0.131,-0.053,15891.534,15876.839,2.2481,3.91,4.22,0.1,3.1397,8.8003,9.0,131703.0,25.44,25.519726028442385,2492.538732394366,2537.2107943597134,20.152091254752904,33.35849128986686,23.568550007051662,11480213099.20324
2011-06-30,8.17,0.726,0.228,0.318,0.822,0.335,0.459,0.157,0.895,1.717,2.403,12.561,3.331,1.949,0.131,-0.053,15891.534,15876.839,2.2481,4.09,4.38,0.07,3.1397,8.8003,9.1,131939.0,25.64333333333333,25.759863014221192,2592.6552795031057,2556.8169474995216,62.551440329218096,66.07324147604783,23.62217900691063,7901564578.790624
2011-07-29,9.44946641288639,-2.9714680148483668,0.1291520999991805,0.1930662460602911,0.7603745049137687,0.1824109931121666,0.159664467765771,0.1778825085882908,0.5248649060178894,1.778911175461131,2.9498663333681936,11.57278030567574,3.933976101552072,1.3384005371621353,0.1327854959511028,-0.0254265843216749,15891.534,15870.684,2.254,3.77,4.12,0.11,3.1397,8.8003,9.0,131999.0,26.136666666666667,26.579931507110597,2734.738598442714,2606.6442034467286,72.4242424242424,66.14641640377548,23.66973542677242,4768188285.276054
2011-08-31,8.256,0.669,0.233,0.331,0.814,0.305,0.441,0.173,0.904,1.834,2.604,12.348,3.326,1.516,0.129,-0.039,15891.534,15870.684,2.2611,3.19,3.6,0.08,3.1397,8.8003,9.0,132125.0,26.666666666666668,26.589965753555298,2654.738598442714,2660.710825462845,74.92163009404393,59.91754523018749,23.75924071823697,7140111270.061481
2011-09-30,7.754,0.626,0.233,0.331,0.814,0.305,0.441,0.173,0.904,1.834,2.604,12.348,3.326,1.516,0.129,-0.039,15891.534,15870.684,2.266,2.66,2.9,0.06,3.1397,8.8003,9.0,132358.0,26.296666666666667,25.73998287677765,2483.537313432836,2624.338170106088,35.805626598465466,30.56961785493995,23.83775590387223,10535970414.846909
2011-10-31,8.299,0.67,0.233,0.331,0.814,0.305,0.441,0.173,0.904,1.834,2.604,12.348,3.326,1.516,0.129,-0.039,15891.534,16048.702,2.2675,2.89,3.16,0.09,3.1397,8.8003,8.8,132562.0,26.040000000000003,26.184991438388824,2656.8921694480105,2598.3893604411865,40.94117647058823,29.08903496010524,23.911000785794787,7704066131.172591
2011-11-30,7.884,0.56,0.23,0.33,0.811,0.306,0.447,0.172,0.869,1.963,2.69,9.654,3.702,1.64,0.129,-0.038,15891.534,16048.702,2.2717,2.77,3.06,0.1,3.1397,8.8003,8.6,132694.0,25.7,25.88249571919441,2550.5123456790125,2563.64727618662,38.66666666666664,34.76505545256937,23.98278077007889,10658629213.4676
2011-12-30,11.931555587617186,5.807559370283039,0.4028329437689443,0.2227638575640158,0.7208917213890759,0.314380959763089,0.2371183328364684,0.0726875740799229,1.5518063810330616,2.0013442272592954,2.4474747446234053,8.073622079865896,3.6910609983681386,1.3459075027386815,0.1290801844214521,-0.1170407321290505,15891.534,16048.702,2.2722,2.57,2.89,0.04,3.1397,8.8003,8.5,132896.0,26.05666666666667,25.921247859597205,2588.5123456790125,2598.638953602012,66.8769716088328,68.25080080862445,24.04712515467731,8261430171.94929
2012-01-31,9.078,0.647,0.23,0.33,0.811,0.306,0.447,0.172,0.869,1.963,2.69,9.654,3.702,1.64,0.129,-0.038,16253.97,16179.968,2.2784,2.59,2.94,0.11,2.0732,0.5444,8.3,133246.0,27.023333333333337,27.7256239297986,2948.699115044248,2695.9079354674245,79.0,70.65947435446748,24.089982651583764,6899403611.329859
2012-02-29,9.193,0.783,0.244,0.326,0.803,0.293,0.421,0.169,0.829,2.044,2.786,9.395,3.761,1.556,0.13,-0.053,16253.97,16179.968,2.2833,2.73,3.08,0.1,2.0732,0.5444,8.3,133518.0,29.076666666666668,29.732811964899295,3170.3216374269005,2902.5110327167204,100.0,100.0,24.20718299855209,6298192845.906932
