Date,pcf,PEG_trailing,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD,SPY,NDAQ
2013-02-28,28.764,6.384232451866732,0.0,-0.001,0.275,0.088,-0.005,0.319,2.974,0.602,1.121,8.032,3.704,26.632,0.075,-0.146,16553.3475,16441.485,2.3294,2.71,3.1,0.14,1.466,0.6098,7.7,135544.0,232.23379285714287,236.59310333964368,26425.47409510291,26019.779077159477,72.0939125781902,76.04558042808084,133.4620783442785,24466741334.125637,125.3368,8.9044
2013-03-28,20.341305627562534,5.659315055747298,0.0,-0.0050327280646757,0.1506368746157256,0.1820682515718738,0.1135455339057686,0.2315623866295827,1.6498114096487717,0.4828512255355874,1.3108513862168611,9.899457938230102,4.057062603989424,154.72929453218035,0.0601568217643488,-0.1530802193542075,16553.3475,16441.485,2.3228,2.71,3.1,0.09,1.466,0.6098,7.5,135689.0,237.38022142857145,240.5793562276912,26647.47409510291,26540.51006198651,69.24373330028557,75.56561543201354,136.27883677739294,26227716195.09592,130.0965,9.1212
2013-04-30,27.642,-0.0621883843893981,0.0,-0.001,0.275,0.088,-0.005,0.319,2.974,0.602,1.121,8.032,3.704,26.632,0.075,-0.146,16553.3475,16464.402,2.318,2.49,2.88,0.14,1.466,0.6098,7.6,135876.0,242.67450714285715,242.34344206399905,25379.36711670057,26150.7717689688,70.01795458203742,77.53618556259532,139.10126004184508,24514009219.14766,132.5959,8.3249
2013-05-31,28.863,-6.826453295288307,0.0,-0.001,0.291,0.133,-0.011,0.292,2.307,0.519,1.099,8.69,4.935,45.56,0.078,-0.173,16553.3475,16464.402,2.3189,2.95,3.3,0.09,1.466,0.6098,7.5,136091.0,247.43807857142855,245.92431645546583,26918.18294251509,26315.008051439527,68.76437082380906,76.93468147382782,141.83523484100817,26274532226.059223,135.7265,8.884
2013-06-28,25.099366845495755,3.5945941684577,0.0,0.0299431789463572,0.363871686379161,0.1437579581383785,0.0875526749844045,0.1623711438059979,2.025523533329871,0.8226162805181761,1.0365160759226275,8.385702703600975,4.429681143453901,70.48778133930736,0.0742916533180569,-0.1204483512932063,16553.3475,16464.402,2.3245,3.22,3.52,0.07,1.466,0.6098,7.5,136269.0,250.7087928571429,250.1597409280704,27766.366049776643,26687.97203633077,64.6010492092666,76.18765326133996,144.436730144188,28061168721.05318,133.9131,9.298
2013-07-31,32.412,7.352826867520758,0.0,-0.001,0.291,0.133,-0.011,0.292,2.307,0.519,1.099,8.69,4.935,45.56,0.078,-0.173,16553.3475,16594.743,2.329,3.34,3.64,0.09,1.466,0.6098,7.3,136391.0,257.01665,256.96777547099435,30120.075804195807,28268.208265495847,77.36702618879684,76.17657020987079,147.21479554130426,29869403687.08389,140.8333,9.1874
2013-08-30,32.83537981446688,-1.9589668636401325,0.0,-0.0036508157483947,0.4107200651811226,0.1506229415080141,0.1478664557390472,0.282678934691933,1.960556951786343,0.4007988305871156,1.1108399967984486,7.162392402805274,4.571214304149703,145.29315876555782,0.0543709704653891,-0.1614228167572394,16553.3475,16594.743,2.3346,3.46,3.7,0.07,1.466,0.6098,7.2,136635.0,260.7759357142857,260.1694054081951,28095.89515889516,28660.779004289205,65.83868913555607,70.72145806968987,150.54289963047816,28099568593.151398,136.6094,8.4672
2013-09-30,31.595,-3.339122424326617,0.0,-0.002,0.3,0.132,-0.013,0.281,2.445,0.528,1.104,8.542,4.832,42.189,0.082,-0.172,16553.3475,16594.743,2.3354,3.41,3.69,0.06,1.466,0.6098,7.2,136819.0,266.44307857142854,267.1654846871024,31261.869127844515,29825.94669697849,70.56998617605667,70.17351487228481,153.6562416378686,29893932509.941032,140.9374,9.1434
2013-10-31,36.767,-7.895739047251491,0.0,-0.002,0.3,0.132,-0.013,0.281,2.445,0.528,1.104,8.542,4.832,42.189,0.082,-0.172,16553.3475,16712.76,2.3367,3.33,3.63,0.07,1.466,0.6098,7.2,137039.0,274.71165,280.0807533954887,36401.54759685794,31919.770627865877,75.24492549955553,71.61044434536832,156.99451680511123,31756195647.5033,147.4637,10.0887
2013-11-29,17.329111016360393,1.9096425501722092,0.0,0.0089776077373613,0.3230461348942496,0.1302064657470317,0.1292633656368159,0.2337833437883203,1.5223667092506887,0.5883314389565928,0.9014590046127058,8.192566702419379,4.624360296500831,-1.904757042529674,0.0785882635268004,-0.150742528795063,16553.3475,16712.76,2.341,3.54,3.82,0.07,1.466,0.6098,6.9,137314.0,284.66165,295.2193196094236,39360.759776466446,35674.725500389635,77.54992013885317,72.08864586268646,161.222626469009,33671670149.36864,151.8342,11.1879
