Date,pcf,PEG_trailing,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual,SPY,NADQ,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD
2013-07-31,8.277,0.112,0.161,0.135,0.583,0.154,0.123,0.004,0.31,3.615,4.603,4.455,4.911,1.222,0.276,-0.071,140.8333,9.1874,16553.3475,16594.743,2.329,3.34,3.64,0.09,1.466,0.6098,7.3,136391.0,14.315,14.18761396710022,1436.6020408163265,1426.6689342403631,71.80327868852456,77.07707124728496,11.527977162577448,-1737346753.0286407
2013-08-30,-2.9655472168567094,0.5820328998827865,0.2139548921164574,0.1667623997541138,0.5758202790162676,0.1192792228477683,0.3165262168377001,0.1607457652976779,0.2595333380466705,2.732531845344859,4.7318121391921055,4.900298195755223,5.965608451126447,1.0350071058773602,0.2971386023196881,-0.0706274114676065,136.6094,8.4672,16553.3475,16594.743,2.3346,3.46,3.7,0.07,1.466,0.6098,7.2,136635.0,14.408333333333331,14.46880698355011,1466.6181818181817,1434.573407544836,62.28070175438591,76.67511566953362,11.593017619325895,-2314132954.52231
2013-09-30,9.952,0.105,0.245,0.131,0.595,0.144,0.114,0.004,0.312,3.607,4.63,4.281,4.933,1.221,0.293,-0.057,140.9374,9.1434,16553.3475,16594.743,2.3354,3.41,3.69,0.06,1.466,0.6098,7.2,136819.0,14.915,15.014403491775056,1549.4766355140189,1484.232286049509,100.0,71.35997860292474,11.66915726693938,-2861426565.106888
2013-10-31,9.546,0.103,0.245,0.131,0.595,0.144,0.114,0.004,0.312,3.607,4.63,4.281,4.933,1.221,0.293,-0.057,147.4637,10.0887,16553.3475,16712.76,2.3367,3.33,3.63,0.07,1.466,0.6098,7.2,137039.0,15.166333333333334,15.101701745887528,1511.8095477386937,1509.3014550236312,75.20053475935826,67.84200950358625,11.757774121600592,-2223828727.1955767
2013-11-29,22.839671723213684,0.2322306166528768,0.2641353827803704,0.034058424102436,0.5703212567962919,0.074410343748807,0.0530907163898799,0.1019667802136804,0.535981034236432,2.432513876967337,3.419831744727707,3.700314040627776,5.352492929529888,1.6559463373540668,0.1674027863381575,0.0079573867576893,151.8342,11.1879,16553.3475,16712.76,2.341,3.54,3.82,0.07,1.466,0.6098,6.9,137314.0,15.449666666666667,15.350850872943765,1551.910863509749,1537.7323489208204,76.69597989949746,66.57347141676796,11.84281863916858,-2827725189.897974
2013-12-31,10.286,0.1,0.385,0.114,0.606,0.129,0.097,0.004,0.321,3.507,4.539,4.149,4.713,1.21,0.317,-0.07,155.7661,11.3712,16553.3475,16712.76,2.3472,3.72,3.96,0.07,1.466,0.6098,6.7,137368.0,15.603,15.68542543647188,1593.910863509749,1552.5437582527309,69.134775374376,69.15275310227436,11.932262266385209,-3297982172.6003723
2014-01-31,10.071,0.098,0.385,0.114,0.606,0.129,0.097,0.004,0.321,3.507,4.539,4.149,4.713,1.21,0.317,-0.07,150.2756,10.8997,16932.0518,16654.247,2.3529,3.35,3.61,0.07,1.6155,0.9371,6.6,137552.0,15.773333333333332,15.69271271823594,1562.4375,1569.419742339833,72.1980886185925,100.0,12.015617021057505,-2782549756.5646405
2014-02-28,11.79,0.115,0.385,0.114,0.606,0.129,0.097,0.004,0.321,3.507,4.539,4.149,4.713,1.21,0.317,-0.07,157.1155,10.9683,16932.0518,16654.247,2.3555,3.31,3.59,0.06,1.6155,0.9371,6.7,137707.0,16.7,17.03635635911797,1834.4096385542168,1663.5860006879886,90.64327485380116,100.0,12.104104680636354,-3174276157.0507746
2014-03-31,11.886,0.752,0.412,0.107,0.606,0.113,0.091,0.236,0.627,4.941,5.949,4.031,4.687,0.883,0.323,-0.058,158.4213,10.5889,16932.0518,16654.247,2.3603,3.31,3.56,0.06,1.6155,0.9371,6.7,137986.0,17.330000000000002,17.473178179558985,1786.892761394102,1727.9132999827732,77.2334293948127,100.0,12.243022587023626,-2691685014.0114493
2014-04-30,12.34,0.775,0.412,0.107,0.606,0.113,0.091,0.236,0.627,4.941,5.949,4.031,4.687,0.883,0.323,-0.058,159.5225,10.5774,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0,18.25333333333333,17.971589089779492,1843.2995169082128,1821.5339722855103,87.33153638814018,100.0,12.377562135283153,-3218181270.9748254
