Date,pcf,PEG_trailing,dpr,npm,gpm,roa,roe,capital_ratio,de_ratio,cash_ratio,curr_ratio,inv_turn,pay_turn,sale_nwc,rd_sale,accrual,SPY,NADQ,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ,SMA,EMA,STOCH_k,STOCK_d,RSI,MFI,SAR,AD
2014-05-30,12.818874999867202,5.077061058907891,4.480340552613401,0.1329381800349805,0.7403543575646647,0.1704846848024479,0.0706745395070163,0.201093812719705,0.847654188841459,0.7963497280179802,2.355595991537234,2.3105577660621,2.976741006157927,3.878581658879996,0.1287171498105233,-0.0167350186537991,163.2245,10.8641,16932.0518,16868.109,2.3692,3.05,3.33,0.08,1.6155,0.9371,6.3,138501.0,100.32666666666668,99.72636198141872,10137.853811659194,10025.851414712964,100.0,100.0,69.45761748538798,16890653293.293356
2014-06-30,15.529,2.301,0.494,0.209,0.747,0.188,0.204,0.137,0.783,1.099,2.192,2.282,3.065,2.436,0.122,-0.031,166.5923,11.116,16932.0518,16868.109,2.3723,3.08,3.34,0.09,1.6155,0.9371,6.1,138833.0,102.45666666666666,102.17318099070935,10452.346733668342,10237.927557483838,100.0,100.0,70.09926513568023,18696291808.07023
2014-07-31,14.822,2.201,0.494,0.209,0.747,0.188,0.204,0.137,0.783,1.099,2.192,2.282,3.065,2.436,0.122,-0.031,164.3537,12.1435,16932.0518,17064.616,2.375,3.07,3.32,0.08,1.6155,0.9371,6.2,139076.0,102.05666666666669,101.13159049535469,9996.419847328243,10195.54013088526,42.36641221374044,62.55155539121221,70.81727983296662,17037669079.690964
2014-08-29,16.228899344610262,1.370122208384696,1.3178562103719775,0.1386346992774397,0.736927199784794,0.1731076460273604,0.1745106524036109,0.214720774958561,1.0668220265580597,0.9395382382684224,2.47881386931473,2.126526935438182,2.8548008803904263,2.158432676053485,0.1360021695108424,-0.1674575651743668,170.8397,12.5119,16932.0518,17064.616,2.3746,2.83,3.09,0.07,1.6155,0.9371,6.1,139258.0,102.81333333333336,102.43079524767734,10360.556675062971,10269.774418686518,60.017652250662,62.32071306547002,71.53573423630729,18786949043.657417
2014-09-30,15.386,1.516,0.487,0.212,0.745,0.19,0.203,0.143,0.769,1.158,2.267,2.332,3.1,2.328,0.12,-0.031,168.4836,12.252,16932.0518,17064.616,2.3748,2.98,3.21,0.07,1.6155,0.9371,5.9,139563.0,103.47,104.51039762383868,10649.090270812438,10335.355597734551,58.93019038984587,63.20250071661495,72.19341955158114,20567772592.851696
2014-10-31,15.441,1.533,0.487,0.212,0.745,0.19,0.203,0.143,0.769,1.158,2.267,2.332,3.1,2.328,0.12,-0.031,172.4516,12.4946,16932.0518,17141.235,2.3743,2.81,3.07,0.07,1.6155,0.9371,5.7,139805.0,106.03333333333336,106.14519881191931,10771.043160204828,10593.56336869341,100.0,52.008012835230026,72.92495116054953,22567029066.125484
2014-11-28,13.828527857245312,-4.099197158562541,-4.145449482785728,0.1391025963468311,0.7543595353535173,0.1803109973646383,0.1737480337600201,0.1533909394335069,0.8547284562245745,1.023058266646831,1.808657733894083,2.3065615032448976,2.79636731095597,2.514009511019013,0.1190577566006656,0.004253262420759,177.1892,12.9711,16932.0518,17141.235,2.3698,2.62,2.89,0.08,1.6155,0.9371,5.8,140089.0,107.54,107.19759940595966,10818.391243919388,10746.174891645553,100.0,53.21097499513123,73.63005213733854,24584114830.610348
2014-12-31,16.043,0.921,0.443,0.233,0.747,0.193,0.22,0.148,0.747,1.272,2.415,2.322,3.041,2.173,0.116,-0.007,176.7355,13.8974,16932.0518,17141.235,2.3625,2.47,2.75,0.06,1.6155,0.9371,5.6,140366.0,106.86666666666667,105.88379970297984,10450.391243919388,10679.941882681202,31.086142322097302,24.172404422890796,74.34725109459177,22630606121.464462
2015-01-30,12.127596712636231,4.023846599172855,1.6882082246826813,0.1758022159050233,0.744737734293902,0.1684319861097796,0.1792325644627493,0.1382218803122159,0.6227924071289208,0.4322673809349786,1.759956755221098,1.9893439688839705,2.9607126585807886,0.4571275085836603,0.129742662199964,-0.0898151368023093,171.499,13.2136,17390.2953,17280.647,2.3475,2.04,2.25,0.06,0.1211,-7.2393,5.7,140562.0,104.32,103.01189985148991,10003.352127659577,10424.044871832784,5.4778554778554565,26.116316762738972,75.04010607269993,20869082218.878647
2015-02-27,10.4727937364932,1.85759878256028,1.676524618497336,0.1320498644083184,0.7633080695912711,0.1913223539370565,0.1635832079397158,0.2037854317675624,0.7248767729077195,1.2553495794599343,2.303985208468144,2.707496794731534,2.962868919882712,0.0259425604633598,0.1423937950518176,-0.0164173318845584,181.138,14.5349,17390.2953,17280.647,2.3534,2.38,2.6,0.06,0.1211,-7.2393,5.5,140829.0,102.40666666666668,102.76094992574497,10242.794763513511,10232.17937836416,22.614503816793928,0.0,75.66930395124592,22771187339.739544
