Date,Pos_lag1,Pos_lag2,Pos_lag3,Pos_lag4,Pos_lag5,Neg_lag1,Neg_lag2,Neg_lag3,Neg_lag4,Neg_lag5,Neu_lag1,Neu_lag2,Neu_lag3,Neu_lag4,Neu_lag5
2016-01-15,-1.1505506,-0.4249342,-1.0083166,-1.0929065,-0.04005889,0.79776603,0.015283737,1.2150866,1.3616906,-1.2104634,1.2553055,0.820963,0.50572777,0.3814956,1.6654576
2016-01-22,-1.1215206,-0.7635794,-0.5916456,-0.5538802,-0.2821592,0.8228855,0.6579429,0.21656674,0.013210808,0.34509122,1.0859663,0.67203677,0.99517465,1.1099807,-0.013570298
2016-01-29,-1.2352155,-0.58037937,-0.64688617,-0.75163096,-0.9690806,1.4169475,0.5416491,0.18412684,0.23030573,0.70309776,0.8214438,0.7348473,1.0015061,1.087602,0.7444942
2016-02-05,-1.0906658,-0.9091529,-0.6114519,-0.9564137,-1.0814726,0.6597564,1.2530363,0.574168,0.7613984,0.95212376,1.3693504,0.17691457,0.39970627,0.7684908,0.93401194
2016-02-12,-0.79119515,-0.35660005,-0.78942245,-1.0461829,-1.0316327,0.072690286,-0.07844287,0.95918256,1.0208956,0.7911373,1.3198569,0.8729669,0.45445764,0.81553984,0.8711657
2016-02-19,-0.6773722,-0.7895289,-0.84893125,-0.8524254,-1.2633566,0.4513077,0.5059059,0.53928614,-0.000892818,1.4061924,0.7849265,1.055631,1.1043777,1.5175744,0.84531724
2016-02-26,-0.58821845,-0.38407528,-1.085499,-0.6573456,-1.0543205,0.2725998,0.07351217,1.0205009,0.7889382,0.64687884,0.9293318,0.7210663,0.8359987,0.29759896,1.2502514
2016-03-04,-0.878123,-0.3249686,-0.96958,-1.0725204,-1.4323792,1.1020665,0.2526949,0.30327132,0.69963735,1.1737678,0.30639723,0.3115238,1.4671277,1.0547233,1.1774919
2016-03-11,-0.38036257,-0.33259264,-0.8306456,-0.32574826,-0.8992866,-0.34362048,-0.3541129,1.5807261,0.055867527,0.010196936,1.1947993,1.047474,-0.56458247,0.7030577,1.6322736
2016-03-18,-1.1203742,-0.20852844,-0.7398515,-0.82394683,-0.5588403,1.499708,-0.2667438,0.3207291,0.34693682,0.42919862,0.5143116,0.73840094,1.162698,0.96064717,0.71419865
2016-03-24,-0.8734307,-0.7254764,-1.0612499,-0.72654736,-0.68280387,0.5939573,0.17434871,0.7526392,-0.077864185,0.16698778,0.84626067,1.2564381,0.9853818,1.3367025,1.05004
2016-04-01,-0.9990653,-0.6548977,-0.98083025,-0.9882804,-0.98181003,0.9677228,0.47596565,1.0323538,0.42934352,0.35860685,0.70236695,0.72037506,0.65608454,1.3015695,1.3322276
2016-04-08,-0.79823375,-0.89425427,-0.9006395,-1.1996307,-0.8800285,-0.052791953,-0.16366589,1.4429271,0.8561068,0.6221588,1.5114691,1.8616434,-0.057350203,1.1620816,1.0656439
2016-04-15,-1.259023,-0.9510611,-0.3231588,-0.6570549,-1.2673364,1.0549074,1.2896024,-0.44858217,-0.08520367,1.6563127,1.0278813,0.11009414,1.0018134,1.3869846,0.49734017
2016-04-22,-1.4085445,-0.6551896,-0.5943036,-0.8636057,-1.0182407,1.4033457,-0.14051512,0.26995122,1.195373,0.90075797,0.70392483,1.2951835,0.80487955,0.22971268,0.58646154
2016-04-29,-1.2024052,-0.5025553,-0.5577484,-0.703709,0.019550323,1.2382517,0.64493066,-0.058962658,0.69234496,-1.5992844,0.68193024,0.37502936,1.138196,0.53292155,1.879837
2016-05-06,-0.9771206,-1.0467086,-1.2198336,-0.44217926,0.009833038,0.80598426,0.7333415,1.3828672,-0.090056084,0.33755434,0.97896916,0.85297084,0.7574144,0.96718013,-0.33169347
2016-05-13,-1.2370632,-1.207181,-0.6139324,-1.1427369,-0.38087174,1.3770628,0.9891019,0.73705184,1.4398597,-0.21324804,0.5640186,1.0963957,0.34213117,0.3674962,1.0609298
2016-05-20,-0.61907125,-0.16128702,-1.5826716,-0.76223546,-1.2030566,-0.13146338,-0.2108343,1.9077654,0.2203565,0.92480236,1.1508985,0.72757983,0.46571866,1.0563089,1.1721994
2016-05-27,-1.1910837,-1.4178501,-0.39691195,-0.66793317,-1.086025,1.1511354,1.1642627,-0.019378224,0.11397044,0.98485255,0.9370353,1.232619,0.9224553,1.1392487,0.7515539
2016-06-03,-0.9966438,-0.9475934,-0.9461059,-1.0373974,-1.0082054,0.87778246,0.512325,0.67330974,0.4503473,0.6208547,0.7919152,1.1617621,1.0569618,1.330111,1.0599799
2016-06-10,-0.09054434,-0.39051265,-0.36662573,-1.0845985,-1.0164496,-1.4094485,0.07319868,0.08363044,0.53688914,0.2332704,1.7439138,0.85557157,0.76326495,1.1976296,1.4147897
2016-06-17,-1.3809404,-0.87583685,-1.3941234,-0.95498604,-1.3745363,0.9231866,0.578755,1.2984354,0.35486165,1.182687,1.4445828,0.9474837,1.1745107,1.3879465,1.2584004
2016-06-24,-0.36227867,-1.1904718,-1.5508527,-0.75305504,-0.7900387,0.49488917,0.92468274,1.5885897,0.527766,0.100019604,0.17652553,1.06585,0.9216771,0.8232941,1.339945
