Date,gdpr1,gdpr2,cpi,bond20yr,bond30yr,fedfunds,cpir,wpir,unemp,employ,gdpr1_tr,gdpr2_tr,cpi_tr,bond20yr_tr,bond30yr_tr,fedfunds_tr,cpir_tr,wpir_tr,unemp_tr,employ_tr
2012-07-31,16253.97,16282.151,2.2859,2.21,2.56,0.13,2.0732,0.5444,8.2,134153.0,16269.73512405933,16230.408493040237,2.2884850499873295,2.250492559573939,2.604122711034991,0.12236279876741211,2.301505712287516,0.5946131336657895,8.15390053788208,134185.93739927688
2012-08-31,16253.97,16282.151,2.2992,2.29,2.68,0.13,2.0732,0.5444,8.1,134330.0,16294.203405071929,16257.797829391873,2.2998399406774546,2.493828217773939,2.924020618666371,0.12699228336617494,2.288618169114761,0.6213974313645766,8.026665682822806,134395.89054576732
2012-09-28,16253.97,16282.151,2.3102,2.42,2.82,0.09,2.0732,0.5444,7.8,134512.0,,,,,,,,,,
2012-10-31,16253.97,16300.035,2.3164,2.46,2.85,0.18,2.0732,0.5444,7.8,134671.0,16338.471138825069,16255.01066892138,2.317136704508255,2.547712914106703,2.904171764339503,0.16580460063858624,2.2635197417512067,0.7926739648507487,7.799207966096911,134724.67356256951
2012-11-30,16253.97,16300.035,2.3125,2.37,2.81,0.16,2.0732,0.5444,7.7,134834.0,16373.93388390306,16284.079953429593,2.3140877073176958,2.485040754797894,2.8798320949806246,0.1447542086654569,2.2511765060489224,0.7633527558291375,7.746881723500194,134885.68250747336
2012-12-31,16253.97,16300.035,2.3122,2.54,2.95,0.09,2.0732,0.5444,7.9,135075.0,16400.555874672347,16312.969648888627,2.315210024031426,2.6234204318642793,3.027757034330992,0.11357746728444484,2.238801289107606,0.809944233019418,7.916589730815954,135123.76534853716
2013-01-31,16553.3475,16441.485,2.3168,2.79,3.17,0.15,1.466,0.6098,8.0,135265.0,16395.549053912866,16406.416275041003,2.31548526158984,2.6452845477645077,3.06872465795807,0.13684479354117077,1.4448682428323043,0.3508471832468037,8.109912811979914,135224.820294035
2013-02-28,16553.3475,16441.485,2.3294,2.71,3.1,0.14,1.466,0.6098,7.7,135544.0,16426.723989686536,16433.799236303756,2.325427902907954,2.687736781969241,3.05149801052971,0.1351080641283126,1.4286767118057806,0.397262783212347,7.706395419478625,135437.84710564386
2013-03-28,16553.3475,16441.485,2.3228,2.71,3.1,0.09,1.466,0.6098,7.5,135689.0,,,,,,,,,,
2013-04-30,16553.3475,16464.402,2.318,2.49,2.88,0.14,1.466,0.6098,7.6,135876.0,16487.624642252864,16478.097225195237,2.317871931050319,2.3615389580063475,2.727524122047092,0.1100661748608351,1.4033045606955237,0.4836024695256378,7.624007073068063,135855.70202389683
2013-05-31,16553.3475,16464.402,2.3189,2.95,3.3,0.09,1.466,0.6098,7.5,136091.0,16518.03091974308,16508.9515811337,2.3206646620110742,2.9619534514604298,3.403773845227622,0.08117231430095485,1.3924437298170005,0.5267658584030459,7.462522555843864,136063.86452440987
2013-06-28,16553.3475,16464.402,2.3245,3.22,3.52,0.07,1.466,0.6098,7.5,136269.0,,,,,,,,,,
2013-07-31,16553.3475,16594.743,2.329,3.34,3.64,0.09,1.466,0.6098,7.3,136391.0,16569.746438206537,16545.542623376674,2.329755489000086,3.3150194811811353,3.6233436742259797,0.08519128550192671,1.371865926800596,0.631728716935347,7.228380981209309,136419.7058250724
2013-08-30,16553.3475,16594.743,2.3346,3.46,3.7,0.07,1.466,0.6098,7.2,136635.0,,,,,,,,,,
2013-09-30,16553.3475,16594.743,2.3354,3.41,3.69,0.06,1.466,0.6098,7.2,136819.0,16622.32268514411,16604.938678684644,2.332880709789113,3.403791206415518,3.689941726466451,0.0820049832303531,1.351252835515538,0.7683422402966389,7.189995446881662,136852.15976620794
2013-10-31,16553.3475,16712.76,2.3367,3.33,3.63,0.07,1.466,0.6098,7.2,137039.0,16643.785567635838,16677.212438858904,2.335313712567038,3.332347929798846,3.629478976737716,0.06448074909350213,1.340628600090333,0.8391541960383068,7.239448097496935,137061.98632520525
2013-11-29,16553.3475,16712.76,2.341,3.54,3.82,0.07,1.466,0.6098,6.9,137314.0,,,,,,,,,,
2013-12-31,16553.3475,16712.76,2.3472,3.72,3.96,0.07,1.466,0.6098,6.7,137368.0,16726.36979394172,16741.10602840076,2.350381015161894,3.844640106825634,4.073687938792898,0.080417584965217,1.3166983773442273,0.7368520156278371,6.734905488383164,137358.21498009114
2014-01-31,16932.0518,16654.247,2.3529,3.35,3.61,0.07,1.6155,0.9371,6.6,137552.0,16756.901360674685,16600.74435470213,2.3527483545249157,3.2815927266266316,3.558591251907142,0.06256406297992784,1.6061635193277066,0.7601316897930032,6.674278145251718,137527.75006708974
2014-02-28,16932.0518,16654.247,2.3555,3.31,3.59,0.06,1.6155,0.9371,6.7,137707.0,16791.948330880365,16629.248627397556,2.3527041476394195,3.3919176302946115,3.66099607556315,0.0580560996492107,1.6016053767916312,0.7819052151615871,6.6857635957300445,137634.08139181358
2014-03-31,16932.0518,16654.247,2.3603,3.31,3.56,0.06,1.6155,0.9371,6.7,137986.0,16826.452895645092,16657.892119980308,2.36244559521742,3.3432634709029467,3.5482960188427177,0.06858098106952916,1.5918946575065687,0.8029196570917422,6.7111301314507,138012.86004179093
2014-04-30,16932.0518,16868.109,2.3647,3.22,3.47,0.09,1.6155,0.9371,6.2,138298.0,16859.573009759486,16881.326268836387,2.367334188703205,3.2024835788363797,3.4523361354179496,0.06279548713642467,1.5832821638904262,0.8244142868060527,6.208276257756465,138305.974939999
2014-05-30,16932.0518,16868.109,2.3692,3.05,3.33,0.08,1.6155,0.9371,6.3,138501.0,,,,,,,,,,
2014-06-30,16932.0518,16868.109,2.3723,3.08,3.34,0.09,1.6155,0.9371,6.1,138833.0,16923.757790060805,16946.131991942493,2.3714901557616184,2.945008995032724,3.2257175435844854,0.0809434648000787,1.5700044482390638,0.9214644650404908,6.070751664879663,138837.1042632716
2014-07-31,16932.0518,17064.616,2.375,3.07,3.32,0.08,1.6155,0.9371,6.2,139076.0,16950.754255477987,17013.482830224195,2.373194240277852,2.9789823973539282,3.2398375978665817,0.07511968178621302,1.565209735031223,0.9231050306006134,6.166308571341373,139066.64691628233
2014-08-29,16932.0518,17064.616,2.3746,2.83,3.09,0.07,1.6155,0.9371,6.1,139258.0,,,,,,,,,,
2014-09-30,16932.0518,17064.616,2.3748,2.98,3.21,0.07,1.6155,0.9371,5.9,139563.0,17006.629522739953,17074.307847385815,2.3736491500217993,2.930220385555305,3.1471410787707437,0.08897485427562456,1.5576032379142504,1.2453343391733258,5.907856916940696,139603.7551056966
2014-10-31,16932.0518,17141.235,2.3743,2.81,3.07,0.07,1.6155,0.9371,5.7,139805.0,17029.276724699834,17111.14178137777,2.3737681409913454,2.7977417589609272,3.0604998856003434,0.0855635182364684,1.5537482841478236,1.4361251176297334,5.744613790203198,139808.02147575907
2014-11-28,16932.0518,17141.235,2.3698,2.62,2.89,0.08,1.6155,0.9371,5.8,140089.0,,,,,,,,,,
2014-12-31,16932.0518,17141.235,2.3625,2.47,2.75,0.06,1.6155,0.9371,5.6,140366.0,17104.734390508027,17175.554174791923,2.366258018416737,2.502003988703001,2.7959634862367913,0.052577044176447346,1.5432928047119214,1.1756088818080275,5.6429972964783115,140333.1023278367
2015-01-30,17390.2953,17280.647,2.3475,2.04,2.25,0.06,0.1211,-7.2393,5.7,140562.0,,,,,,,,,,
2015-02-27,17390.2953,17280.647,2.3534,2.38,2.6,0.06,0.1211,-7.2393,5.5,140829.0,,,,,,,,,,
2015-03-31,17390.2953,17280.647,2.3598,2.31,2.54,0.06,0.1211,-7.2393,5.4,140924.0,17279.804165863596,17287.16401527792,2.3639566771405223,2.4042853001555216,2.6084625126317955,0.04596845127376214,0.2865831842648927,-7.444118538759447,5.3896501894683855,140953.7357459598
2015-04-30,17390.2953,17380.875,2.3622,2.49,2.75,0.08,0.1211,-7.2393,5.4,141202.0,17313.85694414076,17388.33491773383,2.365305517398845,2.5248809875381153,2.8004207909144596,0.05241362780925152,0.27825067471261944,-7.402213463115886,5.399082048984208,141220.33413684493
2015-05-29,17390.2953,17380.875,2.37,2.63,2.88,0.08,0.1211,-7.2393,5.6,141540.0,,,,,,,,,,
2015-06-30,17390.2953,17380.875,2.3766,2.83,3.11,0.08,0.1211,-7.2393,5.3,141695.0,17382.042386403962,17448.183690389436,2.374568474297039,2.7092757962911898,3.009205186407871,0.018769266157417086,0.26669805446970074,-7.3575942991133445,5.302139129207405,141708.13030835966
2015-07-31,17390.2953,17437.08,2.3803,2.61,2.92,0.08,0.1211,-7.2393,5.2,141989.0,17411.435214217032,17386.993215021423,2.3785136074117497,2.542253718806817,2.860411647229668,0.046334199859822095,0.2620904326645903,-7.256370777348336,5.1976627443266965,141946.93195817384
2015-08-31,17390.2953,17437.08,2.3803,2.64,2.95,0.08,0.1211,-7.2393,5.1,142130.0,17439.777091987544,17416.497923952455,2.37859972462965,2.7096790739820547,2.9617000973239827,0.07639253317011403,0.2577148268093512,-7.136748122084855,5.060754182095985,142138.7609158854
2015-09-30,17390.2953,17437.08,2.375,2.51,2.87,0.07,0.1211,-7.2393,5.0,142265.0,17469.143860789685,17447.03744222708,2.374361778251955,2.5247360269769357,2.8306821865501965,0.09349461793172636,0.2533275841343229,-6.814996554552048,4.982705024216889,142325.77731891754
2015-10-30,17390.2953,17462.579,2.3773,2.57,2.93,0.07,0.1211,-7.2393,5.0,142585.0,,,,,,,,,,
2015-11-30,17390.2953,17462.579,2.3802,2.63,2.98,0.08,0.1211,-7.2393,5.1,142810.0,17537.02944422909,17465.66973675254,2.380948079641542,2.5499725405290854,2.9243386336160033,0.17773604922159209,0.24352400857353118,-7.203638116212805,5.073860674710616,142807.78562074556
2015-12-31,17390.2953,17462.579,2.3776,2.67,3.01,0.2,0.1211,-7.2393,5.0,143083.0,17569.382131028433,17497.732491395593,2.380849397013392,2.607619704326488,2.9804344131296387,0.18675682450810485,0.23711853616177847,-7.180194641461733,5.029082765311665,143048.43608377216
2016-01-29,17680.2738,17565.465,2.3765,2.36,2.75,0.29,1.2674,-2.6501,4.8,143198.0,,,,,,,,,,
2016-02-29,17680.2738,17565.465,2.3734,2.19,2.61,0.29,1.2674,-2.6501,4.9,143410.0,17531.827162000565,17551.99297800469,2.3682021325631117,2.253722658755083,2.6896835623181867,0.3319896443258668,1.0491815889988911,-2.6865426874399985,4.904980921108934,143376.7486924289
2016-03-31,17680.2738,17565.465,2.3808,2.2,2.61,0.25,1.2674,-2.6501,5.0,143666.0,17566.37093089169,17582.60860253098,2.3850169401097148,2.2764862404593966,2.6789600167343193,0.19722052827878614,1.0506101754801835,-2.657057594581597,5.01565420200857,143687.20312837165
2016-04-29,17680.2738,17618.581,2.3899,2.26,2.66,0.3,1.2674,-2.6501,5.1,143856.0,,,,,,,,,,
2016-05-31,17680.2738,17618.581,2.3956,2.23,2.64,0.29,1.2674,-2.6501,4.8,143901.0,17633.65528234797,17649.30079964194,2.397018930876729,2.2728368231581166,2.6950561302243052,0.2828935931086051,1.0599674977799436,-3.487506442008062,4.806902900907378,143912.03639815428
