Date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2014-09-30,103.0600,103.7400,96.1400,100.7500,22.5386,1523782675,0.0000
2014-08-29,94.9000,102.9000,93.2800,102.5000,22.9301,930931500,0.4700
2014-07-31,93.5200,99.4400,92.5700,95.6000,21.2807,1035191700,0.0000
2014-06-30,633.9600,651.2600,89.6500,92.9300,20.6863,853194497,0.0000
2014-05-30,592.0000,644.1700,580.3300,633.0000,20.1295,204845300,3.2900
2014-04-30,537.7600,599.4300,511.3300,590.0900,18.6605,229823600,0.0000
2014-03-31,523.4200,549.0000,522.8100,536.7400,16.9734,178632100,0.0000
2014-02-28,502.6100,551.1900,499.3000,526.2400,16.6414,210013100,3.0500
2014-01-31,555.6800,560.2000,493.5500,500.6000,15.7369,313069800,0.0000
2013-12-31,558.0000,575.1358,538.8000,561.0200,17.6363,252049900,0.0000
2013-11-29,524.0200,558.3300,512.3800,556.0700,17.4807,186612700,3.0500
2013-10-31,478.4500,539.2500,478.2800,522.7020,16.3361,279919000,0.0000
2013-09-30,493.1000,507.9200,447.2200,476.7500,14.8999,308247900,0.0000
2013-08-30,455.7527,513.7400,453.2600,487.2160,15.2270,287797800,3.0500
2013-07-31,402.6900,457.3425,401.2200,452.5300,14.0500,233504100,0.0000
2013-06-28,450.7300,454.4300,388.8700,396.5300,12.3113,250662000,0.0000
2013-05-31,444.4600,465.7500,418.9000,449.7350,13.9632,337411800,3.0500
2013-04-30,441.9000,445.2500,385.1000,442.7800,13.6561,391553200,0.0000
2013-03-28,438.0000,469.9500,419.0000,442.6600,13.6524,327745600,0.0000
2013-02-28,459.1100,484.9400,437.6600,441.4000,13.6136,333715500,2.6500
2013-01-31,553.8200,555.0000,435.0000,455.4900,13.9691,468693700,0.0000
2012-12-31,593.6500,594.5900,501.2300,532.1729,16.3208,433312600,0.0000
2012-11-30,598.2200,603.0000,505.7501,585.2800,17.9495,461780400,2.6500
2012-10-31,671.5000,676.7500,587.7000,595.3200,18.1711,433672500,0.0000
2012-09-28,665.7600,705.0700,656.0000,667.1050,20.3622,328535900,0.0000
2012-08-31,615.9050,680.8700,600.2500,665.2400,20.3053,295578800,2.6500
2012-07-31,584.7300,619.8700,570.0000,610.7600,18.5631,318201800,0.0000
2012-06-29,569.1600,590.0000,548.5000,584.0000,17.7498,280565200,0.0000
2012-05-31,584.9000,596.7600,522.1800,577.7300,17.5592,396655200,0.0000
2012-04-30,601.8300,644.0000,555.0000,583.9800,17.7492,557106800,0.0000
2012-03-30,548.1700,621.4500,516.2210,599.5500,18.2224,556583500,0.0000
2012-02-29,458.4100,547.6100,453.9800,542.4400,16.4866,406019800,0.0000
2012-01-31,409.4000,458.2400,409.0000,456.4800,13.8740,244994800,0.0000
2011-12-30,382.5400,409.0900,377.6800,405.0000,12.3094,225233300,0.0000
2011-11-30,397.4100,408.0000,363.3200,382.2000,11.6164,320132200,0.0000
2011-10-31,380.3700,426.7000,354.2400,404.7800,12.3027,469336700,0.0000
2011-09-30,385.8200,422.8600,366.4800,381.3200,11.5896,427766000,0.0000
2011-08-31,397.7800,399.5000,353.0200,384.8300,11.6963,576521400,0.0000
2011-07-29,335.9500,404.5000,334.2000,390.4800,11.8680,380498100,0.0000
2011-06-30,348.8700,352.1320,310.5000,335.6700,10.2022,330851800,0.0000
2011-05-31,349.7400,351.8300,329.4200,347.8300,10.5718,246859300,0.0000
2011-04-29,351.1100,355.1300,320.1600,350.1300,10.6417,330493900,0.0000
2011-03-31,355.4700,361.6700,326.2600,348.5075,10.5924,403802100,0.0000
2011-02-28,341.3000,364.9000,337.7200,353.2100,10.7353,331998200,0.0000
2011-01-31,325.6400,348.6000,324.8365,339.3200,10.3131,387197700,0.0000
2010-12-31,315.2700,326.6600,314.8900,322.5600,9.8037,249044100,0.0000
2010-11-30,302.2200,321.3000,297.7600,311.1500,9.4569,339574500,0.0000
2010-10-29,283.7500,319.0000,277.7700,300.9800,9.1478,436949200,0.0000
2010-09-30,247.4700,294.7300,246.2800,283.7500,8.6242,423211400,0.0000
2010-08-31,260.4400,264.2800,235.5600,243.1000,7.3887,342468600,0.0000
2010-07-30,254.3000,265.9900,239.6000,257.2500,7.8187,559632300,0.0000
2010-06-30,259.6900,279.0100,242.2000,251.5300,7.6449,594687600,0.0000
2010-05-28,263.8400,267.8800,199.2500,256.8800,7.8075,645809100,0.0000
2010-04-30,237.4900,272.4600,232.7500,261.0900,7.9354,441683200,0.0000
2010-03-31,205.7500,237.4800,205.4500,235.0000,7.1425,434077600,0.0000
2010-02-26,192.3700,205.1700,190.8500,204.6200,6.2191,384860000,0.0000
2010-01-29,213.4300,215.5900,190.2500,192.0630,5.8375,541749800,0.0000
