Date,Pos_lag1,Pos_lag2,Pos_lag3,Neg_lag1,Neg_lag2,Neg_lag3,Neu_lag1,Neu_lag2,Neu_lag3
2015-05-27,-0.6426981,-0.3794472,-0.8440837,-0.6448586,0.503291,0.21664952,1.8740985,0.03740433,1.2163523
2015-05-28,-0.7462113,-0.6426981,-0.3794472,0.9073678,-0.6448586,0.503291,0.5055605,1.8740985,0.03740433
2015-05-29,-0.9273637,-0.7462113,-0.6426981,0.6040585,0.9073678,-0.6448586,1.0183394,0.5055605,1.8740985
2015-05-30,-1.1062886,-0.9273637,-0.7462113,0.8669474,0.6040585,0.9073678,1.1453445,1.0183394,0.5055605
2015-05-31,-0.6104901,-1.1062886,-0.9273637,-0.655959,0.8669474,0.6040585,1.7070215,1.1453445,1.0183394
2015-06-01,-1.2937353,-0.6104901,-1.1062886,1.4150832,-0.655959,0.8669474,0.90525544,1.7070215,1.1453445
2015-06-02,-0.8008622,-1.2937353,-0.6104901,-0.008660101,1.4150832,-0.655959,1.49615,0.90525544,1.7070215
2015-06-03,-0.7271854,-0.8008622,-1.2937353,0.8648073,-0.008660101,1.4150832,0.35468912,1.49615,0.90525544
2015-06-04,-0.93614006,-0.7271854,-0.8008622,1.0473102,0.8648073,-0.008660101,0.5709127,0.35468912,1.49615
2015-06-05,-0.5115317,-0.93614006,-0.7271854,0.2584309,1.0473102,0.8648073,0.8293928,0.5709127,0.35468912
2015-06-06,-0.5648948,-0.5115317,-0.93614006,-0.3131282,0.2584309,1.0473102,1.4289219,0.8293928,0.5709127
2015-06-07,-0.96661335,-0.5648948,-0.5115317,-0.039859682,-0.3131282,0.2584309,1.721312,1.4289219,0.8293928
2015-06-08,-1.2319297,-0.96661335,-0.5648948,1.9540796,-0.039859682,-0.3131282,-0.022037402,1.721312,1.4289219
2015-06-09,-0.8748903,-1.2319297,-0.96661335,0.13792484,1.9540796,-0.039859682,1.4538603,-0.022037402,1.721312
2015-06-10,-0.18622717,-0.8748903,-1.2319297,-0.042521775,0.13792484,1.9540796,0.5931156,1.4538603,-0.022037402
2015-06-11,-0.73166907,-0.18622717,-0.8748903,0.076829776,-0.042521775,0.13792484,1.3970009,0.5931156,1.4538603
2015-06-12,0.13486707,-0.73166907,-0.18622717,-1.3952764,0.076829776,-0.042521775,1.4497563,1.3970009,0.5931156
2015-06-13,-0.93925744,0.13486707,-0.73166907,0.605848,-1.3952764,0.076829776,0.9755662,1.4497563,1.3970009
2015-06-14,-0.45589507,-0.93925744,0.13486707,0.031424277,0.605848,-1.3952764,0.97906303,0.9755662,1.4497563
2015-06-15,-0.80320597,-0.45589507,-0.93925744,0.9177705,0.031424277,0.605848,0.5124661,0.97906303,0.9755662
2015-06-16,-0.9409225,-0.80320597,-0.45589507,0.37748206,0.9177705,0.031424277,1.4011811,0.5124661,0.97906303
2015-06-17,-1.4324206,-0.9409225,-0.80320597,1.6567321,0.37748206,0.9177705,0.74754494,1.4011811,0.5124661
2015-06-18,-1.1665841,-1.4324206,-0.9409225,0.90998614,1.6567321,0.37748206,0.98598826,0.74754494,1.4011811
2015-06-19,-0.5805057,-1.1665841,-1.4324206,0.10150097,0.90998614,1.6567321,0.87970555,0.98598826,0.74754494
2015-06-20,-1.1271623,-0.5805057,-1.1665841,0.59728986,0.10150097,0.90998614,1.504659,0.87970555,0.98598826
2015-06-21,-1.3843365,-1.1271623,-0.5805057,1.2011262,0.59728986,0.10150097,1.0492616,1.504659,0.87970555
