Date,5. adjusted close,6. volume,direction,Symbol
2017-07-14,21.852,49530808,1,TSLA
2017-07-07,20.8813,56423771,1,TSLA
2017-06-30,24.1073,33644720,0,TSLA
2017-06-23,25.5633,32351299,0,TSLA
2017-06-16,24.76,51533459,1,TSLA
2017-06-09,23.8213,53112475,1,TSLA
2017-06-02,22.6567,30676943,1,TSLA
2017-05-26,21.676,26126331,1,TSLA
2017-05-19,20.722,28595930,1,TSLA
2017-05-12,21.654,31066200,0,TSLA
2017-05-05,20.5567,42126055,1,TSLA
2017-04-28,20.938,23806017,0,TSLA
2017-04-21,20.3733,21731566,1,TSLA
2017-04-13,20.2667,28724351,1,TSLA
2017-04-07,20.1693,41987629,1,TSLA
2017-03-31,18.5533,25337622,1,TSLA
2017-03-24,17.544,23549643,1,TSLA
2017-03-17,17.4333,29581526,1,TSLA
2017-03-10,16.246,17489184,1,TSLA
2017-03-03,16.7713,28629510,0,TSLA
2017-02-24,17.1333,37518597,0,TSLA
2017-02-17,18.1487,32657156,0,TSLA
2017-02-10,17.9487,23180267,1,TSLA
2017-02-03,16.7553,16562505,1,TSLA
2017-01-27,16.8633,22693209,0,TSLA
2017-01-20,16.3153,20323067,1,TSLA
2017-01-13,15.85,21173453,1,TSLA
2017-01-06,15.2673,28576313,1,TSLA
2016-12-30,14.246,18385776,1,TSLA
2016-12-23,14.2227,21166336,1,TSLA
2016-12-16,13.4993,20430143,1,TSLA
2016-12-09,12.812,18842365,1,TSLA
2016-12-02,12.098,21684267,1,TSLA
2016-11-25,13.11,17222395,0,TSLA
2016-11-18,12.3347,23986074,1,TSLA
2016-11-11,12.5707,26049602,0,TSLA
2016-11-04,12.704,23804757,0,TSLA
2016-10-28,13.3313,28203302,0,TSLA
2016-10-21,13.3393,25242017,0,TSLA
2016-10-14,13.1007,14380671,1,TSLA
2016-10-07,13.1073,19615327,0,TSLA
2016-09-30,13.602,13169214,0,TSLA
2016-09-23,13.83,12631620,0,TSLA
2016-09-16,13.6933,15756694,1,TSLA
2016-09-09,12.9647,15166433,1,TSLA
2016-09-02,13.1853,23632295,0,TSLA
2016-08-26,14.666,13422115,0,TSLA
2016-08-19,15.0,9462599,0,TSLA
2016-08-12,15.0407,10504194,0,TSLA
2016-08-05,15.3353,19190687,0,TSLA
2016-07-29,15.6527,16299604,0,TSLA
2016-07-22,14.818,16103961,1,TSLA
2016-07-15,14.6933,18483131,1,TSLA
2016-07-08,14.452,17782007,1,TSLA
2016-07-01,14.4333,29670715,1,TSLA
2016-06-24,12.8767,48984154,1,TSLA
2016-06-17,14.3647,16234590,0,TSLA
2016-06-10,14.586,24953754,0,TSLA
2016-06-03,14.5993,10033499,0,TSLA
2016-05-27,14.8693,18971633,0,TSLA
2016-05-20,14.6853,27283909,1,TSLA
2016-05-13,13.8407,20482120,1,TSLA
2016-05-06,14.3287,33786680,0,TSLA
2016-04-29,16.0507,18032772,0,TSLA
