Date,adjusted_close,volume,direction,Symbol,volatility
2011-07-29,19.6362,113194800,0,V,0.2952631301060118
2011-08-31,20.2094,160948700,1,V,0.324809731381312
2011-09-30,19.7126,120505600,0,V,0.23948657916467944
2011-10-31,21.4466,104767000,0,V,0.4572957056435151
2011-11-30,22.3523,84173500,0,V,0.7205879338429151
2011-12-30,23.4034,78358900,1,V,0.7316794626064076
2012-01-31,23.1982,76346100,0,V,0.7305982496557195
2012-02-29,26.8754,89913900,0,V,0.8287571287174559
2012-03-30,27.2518,62867300,0,V,1.2833258208264962
2012-04-30,28.402,62665100,1,V,1.3334630202596545
2012-05-31,26.655,100344000,0,V,1.3276732332919874
2012-06-29,28.6055,73804200,0,V,1.7869511670999854
2012-07-31,29.8642,73691000,1,V,1.7885814173249142
2012-08-31,29.7765,54565800,0,V,1.2742713095726512
2012-09-28,31.1765,63213900,0,V,1.3035807801590205
2012-10-31,32.2167,57055600,0,V,1.3318337869268824
2012-11-30,34.841,62366800,0,V,0.6711157712347404
2012-12-31,35.2761,54031200,0,V,0.8654122092968182
2013-01-31,36.7493,59355700,0,V,0.9239304636172574
2013-02-28,36.9979,61217500,0,V,0.7161855642220104
2013-03-28,39.6099,64842600,1,V,0.8500187230879082
2013-04-30,39.2881,51905700,0,V,1.0197102972903622
2013-05-31,41.6211,77751600,0,V,1.0384788652639985
2013-06-28,42.6982,62189200,1,V,1.1444914538780973
2013-07-31,41.3571,84007800,1,V,1.141319619388014
2013-08-30,40.8273,92972300,0,V,1.5183647079670943
2013-09-30,44.7317,71214300,0,V,1.3030282689182147
2013-10-31,46.0355,67642100,0,V,1.8973694330836028
2013-11-29,47.7202,51368400,0,V,1.8047841969609535
2013-12-31,52.2282,70411400,1,V,1.8339895495885448
2014-01-31,50.5277,75352000,0,V,1.8302479005861474
2014-02-28,53.0873,57835200,1,V,2.198938839895279
2014-03-31,50.7189,66709900,1,V,2.0169390009616053
2014-04-30,47.6057,96853500,0,V,2.600999882660513
2014-05-30,50.5731,54955700,1,V,3.002133480043817
2014-06-30,49.6032,50554700,0,V,2.5691312449152908
2014-07-31,49.6738,55415300,0,V,2.5071144241936767
2014-08-29,50.124,44936500,0,V,2.131764033846147
2014-09-30,50.3244,50857195,0,V,1.9786392398817918
2014-10-31,56.9425,80839596,0,V,1.3050461594901521
2014-11-28,61.0115,51380169,0,V,2.715655608062261
2014-12-31,61.9591,50490539,1,V,2.6295996422269323
